location,title,price_eur,rooms,m2,build_material,year,page,kinder_garden,metro_station
Malinova Dolina,"3- staen apartament v kv. Malinova dolina
Malinova Dolina, Sofia",139500EUR,3,103,Tuhla,2024,90,0,0
Simeonovo,"Mnogostaen apartament 235 kv.m Tuhla 2024 g. 4 etaj Posleden etaj
Simeonovo, Sofia",469000EUR,4,235,Tuhla,2024,90,0,0
Poligona,"Dvustaen apartament 65 kv.m Tuhla 2024 g. 2 etaj Neposleden
Poligona, Sofia",116910EUR,2,65,Tuhla,2024,90,0,0
Lulin 5,"Prodavam dvustaen Lulin 5
 Lulin 5, Sofia",97000EUR,2,65,Panel,1985,90,0,0
Dianabad,"TRISTAEN!!! DIANABAD!!!
Dianabad, Sofia",175000EUR,3,113,EPK/PK,n/a,90,0,0
Malinova Dolina,"Posleden apartament, garaji i parkomesta v nova sgrada
 Malinova Dolina, Sofia",156000EUR,3,85,Tuhla,2023,90,0,0
Lulin 6,"Dvustaen apartament v kv. Lulin 6
 Lulin 6, Sofia",82000EUR,2,46.41,Panel,1985,90,0,0
Mladost 3,"Apartament s 1 spalna blizo do park „Mladost 3“ i metro
 Mladost 3, Sofia",139900EUR,2,61,Panel,2000,90,0,0
Gorublane,"Nova jilisna sgrada v kv. Gorublane blizo do Lidl
 Gorublane, Sofia",105000EUR,2,69.59,Tuhla,2023,90,0,0
Malinova Dolina,"Dve sgradi pred Akt 16 v blizost do bul. Simeonovsko sose
 Malinova Dolina, Sofia",285000EUR,4,196.35,Tuhla,2023,90,0,0
Malinova Dolina,"Jilisni sgradi s moderna vizia v atraktivnata cast na j.k. „Malinova dolina“
 Malinova Dolina, Sofia",76900EUR,0,57.07,Tuhla,2024,90,0,0
Lozenez,"Dvustaen apartament v sgrada visok klas stroitelstvo do mol Paradajs. V stroej! Ot PORTFOLIO BP
Lozenez, Sofia",149000EUR,2,64,Tuhla,2023,90,0,0
Lozenez,"Prostranstven apartament s dve spalni v emblematicna sgrada v kv. Lozenez! V prodajba ot Portfolio B..
Lozenez, Sofia",294500EUR,3,130,Tuhla,2023,90,0,0
Oborise,"3-staen, Sofia, Oborise, 150 kv.m., 442200 €
Oborise, Sofia",442200EUR,3,150,Tuhla,n/a,91,0,0
Oborise,"2-staen, Sofia, Oborise, 66 kv.m., 178200 €
Oborise, Sofia",178200EUR,2,66,Tuhla,n/a,91,0,0
Oborise,"2-staen, Sofia, Oborise, 73 kv.m., 191400 €
Oborise, Sofia",191400EUR,2,73,Tuhla,n/a,91,0,0
Oborise,"2-staen, Sofia, Oborise, 66 kv.m., 176880 €
Oborise, Sofia",176880EUR,2,66,Tuhla,n/a,91,0,0
Oborise,"2-staen, Sofia, Oborise, 73 kv.m., 257400 €
Oborise, Sofia",257400EUR,2,73,Tuhla,n/a,91,0,0
Manastirski Livadi,"Tristaen apartament v novostroasa sgrada, Manastirski livadi, Sofia
Manastirski Livadi, Sofia",150000EUR,3,98,Tuhla,2024,91,0,0
Ovca Kupel,"Ednostaen apartament 66 kv.m Tuhla 2021 g. 1 etaj
Ovca Kupel, Sofia",106000EUR,0,66,Tuhla,2021,91,0,0
Nadejda 3,"Tristaen apartament v kv. Nadejda 3. V stroej!
Nadejda 3, Sofia",120916EUR,3,89,Tuhla,2024,91,0,0
Lulin 6,"Dvustaen apartament Lulin 6
 Lulin 6, Sofia",97157EUR,2,72,Tuhla,2026,91,0,0
Zent_r,"Prostoren cetiristaen apapratment na ul. Lulin planina, parter
Zent_r, Sofia",285000EUR,4,100,Tuhla,1943,91,0,0
Lulin 6,"Dvustaen apartament Lulin 6
 Lulin 6, Sofia",130167EUR,2,90,Tuhla,2026,91,0,0
Lulin 6,"Dvustaen apartament Lulin 6
 Lulin 6, Sofia",99288EUR,2,70,Tuhla,2026,91,0,0
Lulin 6,"Dvustaen apartament Lulin 6
 Lulin 6, Sofia",95745EUR,2,73,Tuhla,2026,91,0,0
Lulin 6,"Dvustaen apartament Lulin 6
 Lulin 6, Sofia",95742EUR,2,71,Tuhla,2026,91,0,0
Lulin 6,"Dvustaen apartament Lulin 6
 Lulin 6, Sofia",129800EUR,2,89,Tuhla,2026,91,0,0
Lulin 6,"Dvustaen apartament Lulin 6
 Lulin 6, Sofia",100305EUR,2,74,Tuhla,2026,91,0,0
Lulin 6,"Tristaen apartament Lulin 6
 Lulin 6, Sofia",135932EUR,3,101,Tuhla,2026,91,0,0
Oborise,"Mnogostaen apartament v kv. Oborise
Oborise, Sofia",398580EUR,4,146,Tuhla,1970,91,0,0
Obela,"Tristaen apartament 80 kv.m Panel 1985 g. 4 etaj Neposleden
Obela, Sofia",165000EUR,3,80,Panel,1985,91,0,1
Lulin 8,"Lulin 8, cetiristaen, mnogostaen tuhlen apartament
Lulin 8, Sofia",170000EUR,4,108,Tuhla,1994,91,0,1
Oborise,"Tristaen apartament, Zent_r - Oborise
Oborise, Sofia",255000EUR,3,103,Tuhla,2000,91,0,1
Lulin 5,"3-staen apartament v nova jilisna sgrada v j.k. Lulin 5
Lulin 5, Sofia",100243EUR,3,91,Tuhla,2025,91,0,1
Lulin 1,"Dvustaen apartament v j.k. Lulin 1
Lulin 1, Sofia",120000EUR,2,74,Panel,1980,91,1,1
Obela,"Tristaen apartament 75 kv.m Tuhla 2019 g. 4 etaj Posleden etaj
Obela, Sofia",165000EUR,3,75,Tuhla,2019,91,1,1
Karpuziza,"Tristaen Apartament za Prodajba gr. Sofia, kv. Karpuziza
Karpuziza, Sofia",170000EUR,3,136,Tuhla,2025,91,1,1
Borovo,"2stBorovo ul. Poduevo, 62 kv, et6/6, tez, UJEN, neprehoden, PVC, 121000 evro
Borovo, Sofia",121000EUR,2,62,EPK/PK,1971,91,1,1
Zaharna Fabrika,"Ednostaen apartament 40 kv.m Tuhla 1967 g. 8 etaj Posleden etaj
Zaharna Fabrika, Sofia",85000EUR,0,40,Tuhla,1967,91,1,1
Lulin 6,"Dvustaen apartament 45 kv.m Panel 1985 g. 7 etaj Neposleden
Lulin 6, Sofia",62500EUR,2,45,Panel,1985,91,1,1
