location,title,price_eur,rooms,m2,build_material,year,page,kinder_garden,metro_station
Borovo,"Prodava tristaen v Sofia, kv. Borovo nova tuhla
Borovo, Sofia",140688EUR,3,78,Tuhla,2025,161,0,0
Lozenez,"Prodava cetiristaen, v gr. Sofia, j.k. Lozenez
Lozenez, Sofia",410000EUR,4,150,Tuhla,1995,161,0,0
Borovo,"prodava mezonet tristaen nova tuhla v j.k. Borovo
 Borovo, Sofia",185163EUR,10,123,Tuhla,2025,161,0,0
Zent_r,"Tristaen apartament do Ruski pametnik
Zent_r, Sofia",174900EUR,3,75,Tuhla,1962,161,0,0
Boana,"Dvustaen apartament 71 kv.m Tuhla 2022 g. 1 etaj P_rvi jilisen
Boana, Sofia",138000EUR,2,71,Tuhla,2022,161,0,0
D_rveniza,"Prodajba 2-staen gr. Sofia - D_rveniza 65m²
D_rveniza, Sofia",147000EUR,2,65,Tuhla,2022,161,0,0
Vitosa,"Mezonet za prodajba v j.k Vitosa
Vitosa, Sofia",295000EUR,10,151,Tuhla,1995,161,0,0
Drujba 2,"Tristaen apartament za prodajba v novostroasa se sgrada v kv. 7-mi 11-ti kilomet_r.
Drujba 2, Sofia",167622EUR,3,107,Tuhla,2025,161,0,0
Mladost 4,"Tristaen za prodajba, Mladost 4
Mladost 4, Sofia",230000EUR,3,107,Tuhla,2014,161,0,0
Vitosa,"Dvustaen apartament 59 kv.m Tuhla 2022 g. 3 etaj Neposleden
Vitosa, Sofia",55000EUR,2,59,Tuhla,2022,161,0,0
Obela 1,"Dvustaen apartament 67 kv.m Tuhla 2021 g. 2 etaj Neposleden
Obela 1, Sofia",109900EUR,2,67,Tuhla,2021,161,0,0
Nadejda 4,"Dvustaen apartament 60 kv.m EPK/PK 1990 g. 10 etaj Neposleden
Nadejda 4, Sofia",107000EUR,2,60,EPK/PK,1990,161,0,0
Lulin 5,"Ednostaen apartament 35 kv.m Panel 1985 g. 4 etaj Neposleden
Lulin 5, Sofia",55000EUR,0,35,Panel,1985,161,0,0
Sofia,"Tristaen apartament 87 kv.m Tuhla 2021 g. 3 etaj Neposleden
Sofia",197800EUR,3,87,Tuhla,2021,161,0,0
Lulin 9,"Mnogostaen apartament 250 kv.m Tuhla 2021 g. 5 etaj Neposleden
Lulin 9, Sofia",280000EUR,4,250,Tuhla,2021,161,0,0
Vitosa,"Dvustaen apartament 55 kv.m Tuhla 2022 g. 1 etaj Parter
Vitosa, Sofia",76000EUR,2,55,Tuhla,2022,161,0,0
Drujba 1,"Dvustaen apartament 65 kv.m Panel 1970 g. 5 etaj Neposleden
Drujba 1, Sofia",61999EUR,2,65,Panel,1970,161,0,0
Zent_r,"Renoviran i nap_lno obzaveden apartament za prodajba na metri ot bul. Vitosa
 Zent_r, Sofia",219000EUR,2,50,Tuhla,2023,161,0,0
Avorov,"1-en Apartament Avorov
Avorov, Sofia",175000EUR,0,38,Tuhla,1957,161,0,0
Hadji Dimit_r,"Tristaen apartament v j.k. Hadji Dimit_r
Hadji Dimit_r, Sofia",160000EUR,3,80,Panel,1981,161,0,0
Drujba 2,"Prodavam 3 staen Apartament v Sofia
 Drujba 2, Sofia",154000EUR,3,90,Panel,1988,161,0,0
Manastirski Livadi,"PRODAVA 2-STAEN OBZAVEDEN APARTAMENT DO UJEN PARK
Manastirski Livadi, Sofia",163000EUR,2,61,Tuhla,2020,161,0,0
Zent_r,"Ednostaen apartament v Zent_r
Zent_r, Sofia",145000EUR,0,38,Tuhla,n/a,161,0,0
Oborise,"Ednostaen apartament v Oborise
Oborise, Sofia",145000EUR,0,38,Tuhla,n/a,161,0,0
Zent_r,"3-staen, Sofia, Zent_r, 77 kv.m., 249000 €
Zent_r, Sofia",249000EUR,3,77,Tuhla,n/a,162,0,0
Zapaden Park,"2-staen, Sofia, Zapaden park, 57 kv.m., 130000 €
Zapaden Park, Sofia",130000EUR,2,57,Tuhla,n/a,162,0,0
Zent_r,"3-staen, Sofia, Zent_r, 78 kv.m., 185000 €
Zent_r, Sofia",185000EUR,3,78,Tuhla,n/a,162,0,0
Hadji Dimit_r,"3-staen, Sofia, Hadji Dimit_r, 119 kv.m., 184567 €
Hadji Dimit_r, Sofia",184567EUR,3,119,Tuhla,n/a,162,0,0
Hadji Dimit_r,"3-staen, Sofia, Hadji Dimit_r, 119 kv.m., 190521 €
Hadji Dimit_r, Sofia",190521EUR,3,119,Tuhla,n/a,162,0,0
Ovca Kupel 2,"2-staen, Sofia, Ovca kupel 2, 58 kv.m., 90001 €
Ovca Kupel 2, Sofia",90001EUR,2,58,Tuhla,n/a,162,0,0
Sofia,"Tristaen apartament v Razsadnika do Fantastiko
 Sofia",134000EUR,3,82,Tuhla,2025,162,0,0
Vitosa,"Tristaen za prodajba, Vitosa
Vitosa, Sofia",224000EUR,3,112,Tuhla,2019,162,0,0
Strelbise,"Tristaen apartament v j.k. Strelbise
Strelbise, Sofia",208000EUR,3,85,Tuhla,2023,162,1,0
Mladost 2,"Garsoniera v Mladost 2
Mladost 2, Sofia",98000EUR,0,44,Panel,n/a,162,1,1
Mladost 2,"Dvustaen apartament v Mladost 2
Mladost 2, Sofia",225000EUR,2,85,Tuhla,n/a,162,1,1
Mladost 1,"Dvustaen apartament v Mladost 1
Mladost 1, Sofia",126000EUR,2,57,Panel,n/a,162,1,1
Ovca Kupel,"Ednostaen apartament v Ovca kupel
Ovca Kupel, Sofia",59000EUR,0,36,Tuhla,n/a,162,1,1
Krasna Polana,"Moderen jilisen proekt v kv. Krasna polana 2
 Krasna Polana, Sofia",74345EUR,2,55.07,Tuhla,2026,162,1,1
Manastirski Livadi,"Tristaen apartament v malka sgrada, v kv. ”Manastirski livadi”
Manastirski Livadi, Sofia",208440EUR,3,105,Tuhla,2024,162,1,1
Boana,"Dvustaen apartamen v kvartal Boana
Boana, Sofia",208440EUR,2,83,Tuhla,2024,162,1,1
Hladilnika,"Mnogostaen, Sofia, Hladilnika, 157 kv.m., 336900 €
Hladilnika, Sofia",336900EUR,4,157,Tuhla,n/a,162,1,1
Mladost 4,"2-staen, Sofia, Mladost 4, 73 kv.m., 113275 €
Mladost 4, Sofia",113275EUR,2,73,Tuhla,n/a,162,1,1
Boana,"Mnogostaen, Sofia, Boana, 160 kv.m., 325000 €
Boana, Sofia",325000EUR,4,160,Tuhla,n/a,162,1,1
Obela,"2-staen, Sofia, Obela, 88 kv.m., 96500 €
Obela, Sofia",96500EUR,2,88,Tuhla,n/a,162,1,1
Suhata reka,"3-staen, Sofia, Suha reka, 95 kv.m., 238000 €
Suhata reka, Sofia",238000EUR,3,95,Tuhla,n/a,162,1,1
m. G_rdova glava,"3-staen, Sofia, m-t G_rdova glava, 136 kv.m., 252300 €
m. G_rdova glava, Sofia",252300EUR,3,136,Tuhla,n/a,162,1,1
m. G_rdova glava,"3-staen, Sofia, m-t G_rdova glava, 116 kv.m., 215800 €
m. G_rdova glava, Sofia",215800EUR,3,116,Tuhla,n/a,162,1,1
m. G_rdova glava,"3-staen, Sofia, m-t G_rdova glava, 130 kv.m., 192400 €
m. G_rdova glava, Sofia",192400EUR,3,130,Tuhla,n/a,162,1,1
m. G_rdova glava,"3-staen, Sofia, m-t G_rdova glava, 119 kv.m., 220200 €
m. G_rdova glava, Sofia",220200EUR,3,119,Tuhla,n/a,162,1,1
m. G_rdova glava,"3-staen, Sofia, m-t G_rdova glava, 121 kv.m., 225400 €
m. G_rdova glava, Sofia",225400EUR,3,121,Tuhla,n/a,162,1,1
m. G_rdova glava,"3-staen, Sofia, m-t G_rdova glava, 109 kv.m., 202000 €
m. G_rdova glava, Sofia",202000EUR,3,109,Tuhla,n/a,162,1,1
m. G_rdova glava,"3-staen, Sofia, m-t G_rdova glava, 105 kv.m., 193400 €
m. G_rdova glava, Sofia",193400EUR,3,105,Tuhla,n/a,162,1,1
Boana,"2-staen apartament v kv. Boana
Boana, Sofia",180040EUR,2,75,Tuhla,2024,162,1,1
Boana,"3-staen apartament v kv. Boana
Boana, Sofia",256420EUR,3,112,Tuhla,2024,163,0,0
Gorna Bana,"Tristaen apartament 71 kv.m Tuhla 2023 g. 1 etaj P_rvi jilisen
Gorna Bana, Sofia",145000EUR,3,71,Tuhla,2023,163,1,1
Gorna Bana,"Dvustaen apartament 67 kv.m Tuhla 2023 g. 5 etaj Posleden etaj
Gorna Bana, Sofia",160000EUR,2,67,Tuhla,2023,163,1,1
Geo Milev,"Prodava tristaen apartament v gr. Sofia, kv. Geo Milev, 387 000 EUR
Geo Milev, Sofia",387000EUR,3,146,Tuhla,2023,163,1,1
Malinova Dolina,"Dvustaen apartament v kv. Malinova dolina
Malinova Dolina, Sofia",148000EUR,2,62,Tuhla,2023,163,1,1
Kr_stova Vada,"Tristaen apartament, Kr_stova vada
Kr_stova Vada, Sofia",182000EUR,3,101,Tuhla,2023,163,1,1
Dianabad,"Prodava tristaen apartament v gr. Sofia, kv. Dianabad, 172 000 EUR
 Dianabad, Sofia",172000EUR,3,113,EPK/PK,1975,163,1,1
Serdika,"Studio s balkon v nov zatvoren kompleks v kv. ”Serdika”
 Serdika, Sofia",45000EUR,0,38.03,Tuhla,2023,163,1,1
Strelbise,"3-STAEN OBZAVEDEN APARTAMENT DO UJEN PARK
Strelbise, Sofia",252000EUR,3,98,Tuhla,1975,163,1,1
Dianabad,"Prodava tristaen apartament v gr. Sofia, kv. Dianabad, 179 999 EUR
 Dianabad, Sofia",179999EUR,3,100,EPK/PK,1980,163,1,1
Hadji Dimit_r,"Tristaen apartament 80 kv.m Panel 1980 g. 4 etaj Neposleden
Hadji Dimit_r, Sofia",155000EUR,3,80,Panel,1980,163,1,1
Zent_r,"Tristaen apartament 78 kv.m Tuhla 3 etaj
Zent_r, Sofia",178000EUR,3,78,Tuhla,n/a,163,1,1
Dianabad,"Prodavam 3-staen apartament v nova sgrada v kv. Dianabad
 Dianabad, Sofia",270000EUR,3,137,Tuhla,2023,163,1,1
Vitosa,"Cetiristaen mezonet za prodajba, kv. Vitosa, do Simeonovsko sose, grad Sofia
 Vitosa, Sofia",302000EUR,4,150,Tuhla,2005,163,1,1
Dragalevzi,"Apartament s panoramni gledki i mnogo prostor v kv. Dragalevzi
 Dragalevzi, Sofia",606609EUR,4,374.45,Tuhla,n/a,163,1,1
Kr_stova Vada,"Tristaen apartament v nova butikova sgrada na bul. ”Cerni vr_h”
 Kr_stova Vada, Sofia",223500EUR,3,105.16,Tuhla,2023,163,1,1
Manastirski Livadi,"Prodava 3-staen, gr. Sofia kv. Manastirski livadi, 114kv.m, 171000 evro
 Manastirski Livadi, Sofia",171000EUR,3,114,Tuhla,2024,163,1,1
Manastirski Livadi,"Prodava 2-staen, gr. Sofia kv. Manastirski livadi, 66 kv.m, 99 000 evro
 Manastirski Livadi, Sofia",99000EUR,2,66,Tuhla,2024,163,1,1
Mladost 4,"Prodava obzaveden tristaen gr. Sofia, j.k. Mladost 4, 230 000EUR
 Mladost 4, Sofia",230000EUR,3,107,Panel,1986,163,1,1
Lulin 4,"Obzavedeno jilise v kv. Lulin 4
 Lulin 4, Sofia",90000EUR,2,48,Panel,1980,163,1,1
Ovca Kupel 2,"Izgoden 3-staen v kompleks s park, alei, detski k_t i futbolno igrise
 Ovca Kupel 2, Sofia",112000EUR,3,92.01,Tuhla,2023,163,1,1
D_rveniza,"Novi apartamenti v jilisen kompleks v kv. D_rveniza
 D_rveniza, Sofia",75344EUR,2,55.81,Tuhla,2025,163,1,1
Banisora,"Jilisna sgrada s zentralna lokazia v Sofia
 Banisora, Sofia",80946EUR,0,44.97,Tuhla,2025,163,1,1
Kr_stova Vada,"Park Home - novi apartamenti s_s 180 gradusovi gledki k_m Vitosa na metri ot Ujen park
 Kr_stova Vada, Sofia",146900EUR,2,92.72,Tuhla,2023,163,1,1
Boana,"Dvustaen apartament s golama terasa ▪︎ Obitaema sgrada pred Akt 16
Boana, Sofia",132000EUR,2,110,Tuhla,2013,163,1,1
Zent_r,"3-staen, Sofia, Zent_r, 90 kv.m., 330000 €
Zent_r, Sofia",330000EUR,3,90,Tuhla,n/a,163,1,1
Simeonovo,"2-staen, Sofia, Simeonovo, 83 kv.m., 145000 €
Simeonovo, Sofia",145000EUR,2,83,Tuhla,2023,163,1,1
Simeonovo,"3-staen, Sofia, Simeonovo, 223 kv.m., 446000 €
Simeonovo, Sofia",446000EUR,3,223,Tuhla,2023,163,1,1
Kr_stova Vada,"Prodava 3-staen, kv. Kr_stova voda
Kr_stova Vada, Sofia",265000EUR,3,147,Tuhla,2023,164,0,0
Zent_r,"Mezonet v Zent_ra
Zent_r, Sofia",439000EUR,10,225,Tuhla,2024,164,0,0
Oborise,"Mezonet v kv. Oborise
Oborise, Sofia",439000EUR,10,225,Tuhla,2024,164,0,0
Drujba 2,"Tristaen apartament v Drujba 2 s AKT 14!!!
Drujba 2, Sofia",169400EUR,3,121,Tuhla,n/a,164,0,0
Drujba 2,"Dvustaen apartament v Drujba 2 s AKT 14!!!
Drujba 2, Sofia",107800EUR,2,77,Tuhla,n/a,164,0,0
Ovca Kupel 2,"Dvustaen apartament v Ovca kupel 2
Ovca Kupel 2, Sofia",100500EUR,2,62,Tuhla,n/a,164,0,0
Ovca Kupel 2,"Tristaen apartament v Ovca kupel 2
Ovca Kupel 2, Sofia",158942EUR,3,97,Tuhla,n/a,164,0,0
Ovca Kupel 2,"Dvustaen apartament v Ovca kupel 2
Ovca Kupel 2, Sofia",124198EUR,2,72,Tuhla,n/a,164,0,0
B_kston,"Dvustaen apartament 64 kv.m EPK/PK 1980 g. 1 etaj P_rvi jilisen
B_kston, Sofia",125000EUR,2,64,EPK/PK,1980,164,0,0
Malinova Dolina,"Dvustaen apartament 63 kv.m Tuhla 2022 g. 2 etaj Neposleden
Malinova Dolina, Sofia",121000EUR,2,63,Tuhla,2022,164,0,0
Izgrev,"Prodava 3-staen, kv. Izgrev
Izgrev, Sofia",244500EUR,3,84,Tuhla,2022,164,0,0
Strelbise,"Tristaen za prodajba, Strelbise
Strelbise, Sofia",179000EUR,3,80,Panel,1969,164,0,0
Borovo,"Prodava dvustaen apartament 61m2 v gr. Sofia, kv. Borovo, 127 000 EUR
 Borovo, Sofia",127000EUR,2,61,Panel,1975,164,0,0
Kr_stova Vada,"Prodava 2-staen gr. Sofia kv. Kr_stova vada tuhla obzaveden, 169 000EUR
 Kr_stova Vada, Sofia",148990EUR,2,52,Tuhla,2013,164,0,0
Zent_r,"Prodava dvustaen apartament v gr. Sofia, Zent_r, 125 000 EUR
 Zent_r, Sofia",125000EUR,2,55,Tuhla,2005,164,0,0
Lulin Zent_r,"Jilisna sgrada na glavna p_tna arteria na metri ot metrostanzia „Lulin“
 Lulin Zent_r, Sofia",103370EUR,2,75.21,Tuhla,2024,164,0,0
Malinova Dolina,"2-staen, Sofia, Malinova Dolina, 58 kv.m., 87000 €
Malinova Dolina, Sofia",87000EUR,2,58,Tuhla,2023,164,0,0
Malinova Dolina,"2-staen, Sofia, Malinova Dolina, 61 kv.m., 120000 €
Malinova Dolina, Sofia",120000EUR,2,61,Tuhla,2023,164,0,0
Lulin 5,"3-staen, Sofia, Lulin 5, 125 kv.m., 150588 €
Lulin 5, Sofia",150588EUR,3,125,Tuhla,n/a,164,1,0
Lulin 5,"2-staen, Sofia, Lulin 5, 56 kv.m., 62436 €
Lulin 5, Sofia",62436EUR,2,56,Tuhla,n/a,164,1,0
Lulin 5,"3-staen, Sofia, Lulin 5, 91 kv.m., 100243 €
Lulin 5, Sofia",100243EUR,3,91,Tuhla,n/a,164,1,0
Lulin 5,"Mnogostaen, Sofia, Lulin 5, 135 kv.m., 182574 €
Lulin 5, Sofia",182574EUR,4,135,Tuhla,n/a,164,1,0
Lulin 5,"3-staen, Sofia, Lulin 5, 87 kv.m., 109944 €
Lulin 5, Sofia",109944EUR,3,87,Tuhla,n/a,164,1,0
Lulin 5,"2-staen, Sofia, Lulin 5, 57 kv.m., 66033 €
Lulin 5, Sofia",66033EUR,2,57,Tuhla,n/a,164,1,0
Lulin 5,"3-staen, Sofia, Lulin 5, 103 kv.m., 140192 €
Lulin 5, Sofia",140192EUR,3,103,Tuhla,n/a,164,1,0
Lulin 5,"3-staen, Sofia, Lulin 5, 87 kv.m., 119106 €
Lulin 5, Sofia",119106EUR,3,87,Tuhla,n/a,164,1,0
Lulin 5,"3-staen, Sofia, Lulin 5, 91 kv.m., 119574 €
Lulin 5, Sofia",119574EUR,3,91,Tuhla,n/a,164,1,0
Lulin 5,"3-staen, Sofia, Lulin 5, 109 kv.m., 142818 €
Lulin 5, Sofia",142818EUR,3,109,Tuhla,n/a,164,1,0
Lulin 5,"2-staen, Sofia, Lulin 5, 54 kv.m., 68904 €
Lulin 5, Sofia",68904EUR,2,54,Tuhla,n/a,164,1,0
Lulin 5,"2-staen, Sofia, Lulin 5, 62 kv.m., 75144 €
Lulin 5, Sofia",75144EUR,2,62,Tuhla,n/a,164,1,0
Lulin 5,"3-staen, Sofia, Lulin 5, 115 kv.m., 162527 €
Lulin 5, Sofia",162527EUR,3,115,Tuhla,n/a,165,1,0
Lulin 5,"Mnogostaen, Sofia, Lulin 5, 122 kv.m., 153438 €
Lulin 5, Sofia",153438EUR,4,122,Tuhla,n/a,165,1,0
Lulin 5,"Mnogostaen, Sofia, Lulin 5, 135 kv.m., 176098 €
Lulin 5, Sofia",176098EUR,4,135,Tuhla,n/a,165,1,0
Lulin 5,"3-staen, Sofia, Lulin 5, 91 kv.m., 118469 €
Lulin 5, Sofia",118469EUR,3,91,Tuhla,n/a,165,1,0
Lulin 5,"2-staen, Sofia, Lulin 5, 65 kv.m., 83213 €
Lulin 5, Sofia",83213EUR,2,65,Tuhla,n/a,165,1,0
Lulin 5,"3-staen, Sofia, Lulin 5, 117 kv.m., 146800 €
Lulin 5, Sofia",146800EUR,3,117,Tuhla,n/a,165,1,0
Lulin 5,"2-staen, Sofia, Lulin 5, 56 kv.m., 73788 €
Lulin 5, Sofia",73788EUR,2,56,Tuhla,n/a,165,1,0
Lulin 5,"3-staen, Sofia, Lulin 5, 125 kv.m., 159999 €
Lulin 5, Sofia",159999EUR,3,125,Tuhla,n/a,165,1,0
Lulin 5,"Mnogostaen, Sofia, Lulin 5, 135 kv.m., 172711 €
Lulin 5, Sofia",172711EUR,4,135,Tuhla,n/a,165,1,0
Lulin 5,"2-staen, Sofia, Lulin 5, 65 kv.m., 82875 €
Lulin 5, Sofia",82875EUR,2,65,Tuhla,n/a,165,1,0
Lulin 5,"3-staen, Sofia, Lulin 5, 117 kv.m., 144182 €
Lulin 5, Sofia",144182EUR,3,117,Tuhla,n/a,165,1,0
Lulin 5,"2-staen, Sofia, Lulin 5, 56 kv.m., 72369 €
Lulin 5, Sofia",72369EUR,2,56,Tuhla,n/a,165,1,0
Lulin 5,"3-staen, Sofia, Lulin 5, 125 kv.m., 156863 €
Lulin 5, Sofia",156863EUR,3,125,Tuhla,n/a,165,1,0
Lulin 5,"Mnogostaen, Sofia, Lulin 5, 135 kv.m., 169325 €
Lulin 5, Sofia",169325EUR,4,135,Tuhla,n/a,165,1,0
Lulin 5,"3-staen, Sofia, Lulin 5, 91 kv.m., 113913 €
Lulin 5, Sofia",113913EUR,3,91,Tuhla,n/a,165,1,0
Lulin 5,"2-staen, Sofia, Lulin 5, 65 kv.m., 81613 €
Lulin 5, Sofia",81613EUR,2,65,Tuhla,n/a,165,1,0
Lulin 5,"2-staen, Sofia, Lulin 5, 56 kv.m., 70950 €
Lulin 5, Sofia",70950EUR,2,56,Tuhla,n/a,165,1,0
Lulin 5,"Mnogostaen, Sofia, Lulin 5, 135 kv.m., 165938 €
Lulin 5, Sofia",165938EUR,4,135,Tuhla,n/a,165,1,0
Lulin 5,"3-staen, Sofia, Lulin 5, 91 kv.m., 111634 €
Lulin 5, Sofia",111634EUR,3,91,Tuhla,n/a,165,1,0
Lulin 5,"2-staen, Sofia, Lulin 5, 65 kv.m., 79980 €
Lulin 5, Sofia",79980EUR,2,65,Tuhla,n/a,165,1,0
Lulin 5,"2-staen, Sofia, Lulin 5, 56 kv.m., 69531 €
Lulin 5, Sofia",69531EUR,2,56,Tuhla,n/a,165,1,0
Lulin 5,"3-staen, Sofia, Lulin 5, 125 kv.m., 153725 €
Lulin 5, Sofia",153725EUR,3,125,Tuhla,n/a,165,1,0
Lulin 5,"Mnogostaen, Sofia, Lulin 5, 135 kv.m., 162552 €
Lulin 5, Sofia",162552EUR,4,135,Tuhla,n/a,165,1,0
Lulin 5,"3-staen, Sofia, Lulin 5, 91 kv.m., 109356 €
Lulin 5, Sofia",109356EUR,3,91,Tuhla,n/a,165,1,0
Lulin 5,"2-staen, Sofia, Lulin 5, 65 kv.m., 78348 €
Lulin 5, Sofia",78348EUR,2,65,Tuhla,n/a,165,1,0
Lulin 5,"3-staen, Sofia, Lulin 5, 117 kv.m., 135056 €
Lulin 5, Sofia",135056EUR,3,117,Tuhla,n/a,165,1,0
Lulin 5,"2-staen, Sofia, Lulin 5, 56 kv.m., 68112 €
Lulin 5, Sofia",68112EUR,2,56,Tuhla,n/a,165,1,0
Lulin 5,"3-staen, Sofia, Lulin 5, 125 kv.m., 144314 €
Lulin 5, Sofia",144314EUR,3,125,Tuhla,n/a,165,1,0
Lulin 5,"Mnogostaen, Sofia, Lulin 5, 135 kv.m., 155779 €
Lulin 5, Sofia",155779EUR,4,135,Tuhla,n/a,165,1,0
Lulin 5,"3-staen, Sofia, Lulin 5, 91 kv.m., 104800 €
Lulin 5, Sofia",104800EUR,3,91,Tuhla,n/a,166,0,0
Lulin 5,"2-staen, Sofia, Lulin 5, 65 kv.m., 75084 €
Lulin 5, Sofia",75084EUR,2,65,Tuhla,n/a,166,0,0
Lulin 5,"3-staen, Sofia, Lulin 5, 117 kv.m., 129184 €
Lulin 5, Sofia",129184EUR,3,117,Tuhla,n/a,166,0,0
Lulin 5,"2-staen, Sofia, Lulin 5, 65 kv.m., 71819 €
Lulin 5, Sofia",71819EUR,2,65,Tuhla,n/a,166,0,0
Lulin 5,"3-staen, Sofia, Lulin 5, 117 kv.m., 123312 €
Lulin 5, Sofia",123312EUR,3,117,Tuhla,n/a,166,0,0
Lulin 5,"3-staen, Sofia, Lulin 5, 147 kv.m., 199544 €
Lulin 5, Sofia",199544EUR,3,147,Tuhla,n/a,166,0,0
Lulin 5,"2-staen, Sofia, Lulin 5, 57 kv.m., 71775 €
Lulin 5, Sofia",71775EUR,2,57,Tuhla,n/a,166,0,0
Lulin 5,"2-staen, Sofia, Lulin 5, 62 kv.m., 78275 €
Lulin 5, Sofia",78275EUR,2,62,Tuhla,n/a,166,0,0
Lulin 5,"3-staen, Sofia, Lulin 5, 107 kv.m., 134800 €
Lulin 5, Sofia",134800EUR,3,107,Tuhla,n/a,166,0,0
Lulin 5,"3-staen, Sofia, Lulin 5, 91 kv.m., 114525 €
Lulin 5, Sofia",114525EUR,3,91,Tuhla,n/a,166,0,0
Lulin 5,"3-staen, Sofia, Lulin 5, 91 kv.m., 114975 €
Lulin 5, Sofia",114975EUR,3,91,Tuhla,n/a,166,0,0
Lulin 5,"3-staen, Sofia, Lulin 5, 109 kv.m., 137325 €
Lulin 5, Sofia",137325EUR,3,109,Tuhla,n/a,166,1,0
Lulin 5,"2-staen, Sofia, Lulin 5, 62 kv.m., 72013 €
Lulin 5, Sofia",72013EUR,2,62,Tuhla,n/a,166,1,0
Lulin 5,"3-staen, Sofia, Lulin 5, 107 kv.m., 132643 €
Lulin 5, Sofia",132643EUR,3,107,Tuhla,n/a,166,1,0
Lulin 5,"3-staen, Sofia, Lulin 5, 91 kv.m., 112693 €
Lulin 5, Sofia",112693EUR,3,91,Tuhla,n/a,166,1,0
Lulin 5,"3-staen, Sofia, Lulin 5, 91 kv.m., 113128 €
Lulin 5, Sofia",113128EUR,3,91,Tuhla,n/a,166,1,0
Lulin 5,"3-staen, Sofia, Lulin 5, 109 kv.m., 135128 €
Lulin 5, Sofia",135128EUR,3,109,Tuhla,n/a,166,1,0
Lulin 5,"2-staen, Sofia, Lulin 5, 57 kv.m., 64884 €
Lulin 5, Sofia",64884EUR,2,57,Tuhla,n/a,166,1,0
Lulin 5,"2-staen, Sofia, Lulin 5, 62 kv.m., 70760 €
Lulin 5, Sofia",70760EUR,2,62,Tuhla,n/a,166,1,0
Lulin 5,"3-staen, Sofia, Lulin 5, 107 kv.m., 129408 €
Lulin 5, Sofia",129408EUR,3,107,Tuhla,n/a,166,1,0
Lulin 5,"3-staen, Sofia, Lulin 5, 91 kv.m., 110376 €
Lulin 5, Sofia",110376EUR,3,91,Tuhla,n/a,166,1,0
Lulin 5,"2-staen, Sofia, Lulin 5, 62 kv.m., 68882 €
Lulin 5, Sofia",68882EUR,2,62,Tuhla,n/a,166,1,0
Lulin 5,"3-staen, Sofia, Lulin 5, 107 kv.m., 124016 €
Lulin 5, Sofia",124016EUR,3,107,Tuhla,n/a,166,1,0
Lulin 5,"3-staen, Sofia, Lulin 5, 91 kv.m., 105363 €
Lulin 5, Sofia",105363EUR,3,91,Tuhla,n/a,166,1,0
Lulin 5,"3-staen, Sofia, Lulin 5, 91 kv.m., 105777 €
Lulin 5, Sofia",105777EUR,3,91,Tuhla,n/a,166,1,0
Lulin 5,"3-staen, Sofia, Lulin 5, 109 kv.m., 120846 €
Lulin 5, Sofia",120846EUR,3,109,Tuhla,n/a,166,1,0
Lulin 5,"2-staen, Sofia, Lulin 5, 57 kv.m., 60291 €
Lulin 5, Sofia",60291EUR,2,57,Tuhla,n/a,166,1,0
Lulin 5,"2-staen, Sofia, Lulin 5, 62 kv.m., 65751 €
Lulin 5, Sofia",65751EUR,2,62,Tuhla,n/a,166,1,0
Lulin 5,"2-staen, Sofia, Lulin 5, 62 kv.m., 59347 €
Lulin 5, Sofia",59347EUR,2,62,Tuhla,n/a,166,1,0
Lulin 5,"3-staen, Sofia, Lulin 5, 117 kv.m., 140928 €
Lulin 5, Sofia",140928EUR,3,117,Tuhla,n/a,167,0,0
Lulin 5,"3-staen, Sofia, Lulin 5, 125 kv.m., 163137 €
Lulin 5, Sofia",163137EUR,3,125,Tuhla,n/a,167,1,0
Lulin 5,"2-staen, Sofia, Lulin 5, 78 kv.m., 105300 €
Lulin 5, Sofia",105300EUR,2,78,Tuhla,n/a,167,1,0
Lulin 5,"2-staen, Sofia, Lulin 5, 69 kv.m., 94068 €
Lulin 5, Sofia",94068EUR,2,69,Tuhla,n/a,167,1,0
Banisora,"3-staen, Sofia, Banisora, 81 kv.m., 169900 €
Banisora, Sofia",169900EUR,3,81,Tuhla,n/a,167,1,0
Gorublane,"3-staen, Sofia, Gorublane, 110 kv.m., 235000 €
Gorublane, Sofia",235000EUR,3,110,Tuhla,n/a,167,1,0
Iztok,"2-staen, Sofia, Iztok, 70.3 kv.m., 174900 €
Iztok, Sofia",174900EUR,2,70,EPK/PK,n/a,167,1,0
Zent_r,"2-staen, Sofia, Zent_r, 69 kv.m., 163262 €
Zent_r, Sofia",163262EUR,2,69,Tuhla,n/a,167,1,0
Nadejda 4,"Prodava se remontairan dvustaen apartament do metrostanzia Beli Dunav
Nadejda 4, Sofia",107000EUR,2,60,EPK/PK,1985,167,1,1
Nadejda 1,"Prodava apartament do metrostanzia Nadejda
Nadejda 1, Sofia",136000EUR,2,63,Tuhla,2020,167,1,1
Nadejda 1,"Prodava apartament v Nadejda do detska gradina
Nadejda 1, Sofia",98900EUR,2,70,Panel,1970,167,1,1
Nadejda 2,"Prodava dvustaen apartament do metrostanzia Nadejda
Nadejda 2, Sofia",109000EUR,2,61,Tuhla,2021,167,1,1
Nadejda 2,"Prodava mnogostaen apartament do metrostanzia Nadejda
Nadejda 2, Sofia",230000EUR,4,150,Tuhla,2023,167,1,1
