price_sq,panel,brick,LAF,presoc,soc,postsoc,center,mid,suburban,rural,kinder_garden,metro_station,rooms
1855.714286,1,0,0,0,1,0,0,0,1,0,0,1,2
1647.058824,0,1,0,0,0,1,0,0,1,0,0,1,3
1321.678322,0,1,0,0,0,1,0,0,1,0,0,1,2
1385.087719,0,1,0,0,0,1,0,0,1,0,0,1,3
1390,0,1,0,0,0,1,0,0,0,1,0,1,2
1400,0,1,0,0,0,1,0,0,1,0,0,1,2
2157.894737,0,1,0,0,0,1,0,0,0,1,0,1,1
2228.571429,0,1,0,0,0,1,1,0,0,0,0,1,2
1850,1,0,0,0,1,0,0,0,1,0,0,1,3
1390.003815,0,1,0,0,0,1,0,1,0,0,0,1,2
1550,0,1,0,0,0,1,0,1,0,0,0,1,3
1490,0,0,1,0,1,0,0,0,1,0,0,1,4
1644.444444,0,1,0,0,0,1,0,0,1,0,0,1,2
2050,0,0,1,0,1,0,1,0,0,0,0,1,3
1754.932039,0,1,0,0,0,1,0,0,1,0,0,1,3
2709.359606,0,1,0,0,0,1,0,0,1,0,0,1,4
1292.041292,0,1,0,0,0,1,0,0,1,0,0,1,1
1334.491352,0,1,0,0,0,1,0,0,1,0,0,1,2
1255.511022,0,1,0,0,0,1,0,0,1,0,0,1,1
1800,0,1,0,0,0,1,1,0,0,0,0,1,2
1434.996192,0,1,0,0,0,1,1,0,0,0,0,0,2
1547.998278,0,1,0,0,0,1,0,0,1,0,0,0,1
1536.956522,0,1,0,0,0,1,1,0,0,0,0,0,1
2994.011976,0,1,0,0,0,1,1,0,0,0,0,0,4
1284.40367,0,1,0,0,0,1,0,0,1,0,0,0,3
1692.546667,0,1,0,0,0,1,0,0,1,0,0,1,2
1685.905405,0,1,0,0,0,1,0,0,1,0,0,1,2
1680.226667,0,1,0,0,0,1,0,0,1,0,0,1,2
1693.305556,0,1,0,0,0,1,0,0,1,0,0,1,2
2031.25,0,1,0,0,0,1,0,0,1,0,0,1,1
1149.253731,0,1,0,0,0,1,1,0,0,0,0,1,2
1058.394161,0,1,0,0,0,1,0,0,1,0,0,1,4
2166.666667,1,0,0,0,1,0,0,1,0,0,0,1,3
1771.285714,0,1,0,0,0,1,0,0,1,0,0,1,2
1102,0,1,0,0,0,1,0,0,0,1,0,1,4
1807.692308,0,1,0,0,0,1,0,1,0,0,0,1,3
1689.02439,0,1,0,0,0,1,0,0,1,0,0,1,2
1444,0,1,0,0,0,1,0,0,1,0,0,1,2
2900,0,1,0,0,1,0,0,1,0,0,0,1,2
2178.947368,0,1,0,0,0,1,0,0,1,0,0,1,2
2584.679089,0,1,0,0,0,1,0,1,0,0,0,1,2
1734.042553,1,0,0,0,1,0,0,1,0,0,0,1,1
1682.539683,0,0,1,0,1,0,1,0,0,0,0,1,2
1904.347826,1,0,0,0,1,0,0,1,0,0,0,0,2
1891.071429,0,0,1,0,1,0,0,1,0,0,0,0,2
2142.857143,0,1,0,0,0,1,0,0,0,1,0,0,3
1182.795699,0,1,0,0,0,1,0,1,0,0,0,0,2
1400,0,1,0,0,0,1,0,0,0,1,0,0,2
1800,0,0,1,0,1,0,0,1,0,0,0,1,2
2056.603774,0,1,0,0,0,1,0,0,1,0,0,1,2
1690.140845,0,1,0,0,0,1,0,0,1,0,0,1,2
1348.272727,0,1,0,0,0,1,0,0,0,1,0,1,2
1457.446809,0,1,0,0,0,1,1,0,0,0,0,1,3
1254.901961,0,1,0,0,0,1,1,0,0,0,0,1,2
1292.954198,0,1,0,0,0,1,0,0,1,0,0,1,3
1294.586538,0,1,0,0,0,1,0,0,1,0,0,1,3
