region,area,population,coordinates,distance_from_center
Ovca Kupel,"s. Malo Bucino, m. Kamen rid",0.0,"[42.678597, 23.15241]",14.002687786356962
Banka,"s. Ivanane, m. Brodo",0.0,"[42.697866, 23.174017]",12.072675389166593
Banka,s. Ivanane poleto,0.0,"[42.708143, 23.195068]",10.416360302699317
Ovca Kupel,"Suhodol, m. Manilov dol",0.0,"[42.708892, 23.226415]",7.8886300192321
Banka,"s. Ivanane, m. Sadinata",0.0,"[42.717214, 23.19426]",10.640252302178634
Pancarevo,m. D_lgata str_n,0.0,"[42.580932, 23.381087]",13.862086110400794
Kremikovzi / Novi Isk_r,Hidropark Isk_r - cast Vrajdebna,0.0,"[42.715457, 23.425298]",8.68847022091078
Pancarevo,v.z. Bunkera,0.0,"[42.609933, 23.371104]",10.561470412404386
Pancarevo,m. Dupkite,0.0,"[42.614328, 23.383574]",10.56007626941506
Lozenez,kv. Kr_stova vada - iztok,502.0,"[42.656695, 23.32148]",4.560044594421245
Lulin,j.k. Lulin - 10 mr,21695.0,"[42.717607, 23.278864]",4.144237959008689
Kremikovzi,kv. Seslavzi,700.0,"[42.791309, 23.519968]",19.244437456623626
Nadejda / Vr_bniza,"j.k. Nadejda 4, j.k. Vr_bniza 2A",7834.0,"[42.737473, 23.299688]",4.775188062951498
Lulin,j.k. Lulin - 2 mr,4346.0,"[42.723566, 23.258619]",5.905289900971324
Novi Isk_r,gr. Novi Isk_r - kv. Slavovzi,787.0,"[42.796702, 23.332245]",11.041408767942078
Lulin,j.k. Lulin - 5 mr,14484.0,"[42.712704, 23.24793]",6.25801391765955
Krasna polana,Zapaden park - razs. Malka Kon_oviza 2,0.0,"[42.708887, 23.230302]",7.575055167098867
Novi Isk_r / Kremikovzi,Hidropark Isk_r - defileto,0.0,"[42.841543, 23.365692]",16.391499090274166
Pancarevo,v.z. Bistriza - razs. Zonkina mahala,0.0,"[42.576802, 23.360021]",13.803462550903689
Pancarevo,v.z. Bistriza - razs. iztok,0.0,"[42.588938, 23.37378]",12.82123797377688
Nadejda / Vr_bniza,"j.k. Nadejda 3, j.k. Vr_bniza 1A",6554.0,"[42.735386, 23.292874]",4.808349330411509
Nadejda / Vr_bniza,"j.k. Nadejda 3, j.k. Vr_bniza 1B",8559.0,"[42.732279, 23.296317]",4.369986974809666
Krasno selo,NPZ Sredez 1,385.0,"[42.688953, 23.285268]",3.136041526515087
V_zrajdane,NPZ Sredez 2,1294.0,"[42.689999, 23.297039]",2.1934686476441256
Poduene,NPZ Hadji Dimit_r - Malasevzi 1,698.0,"[42.71594, 23.373099]",4.660316474071804
Serdika,NPZ Hadji Dimit_r - Malasevzi 2,40.0,"[42.719181, 23.31242]",2.5067576516351684
Krasno selo,ZGC Zona G6 - zapad,1915.0,"[42.689881, 23.314084]",1.071822654497772
Novi Isk_r,s. Lokorsko 1,393.0,"[42.794917, 23.455721]",15.379630172623138
Lulin,SPZ Moderno predgradie - razsirenie 1,538.0,"[42.744716, 23.257267]",7.421025894608171
Vr_bniza,SPZ Moderno predgradie - razsirenie 2,23.0,"[42.740748, 23.252298]",7.4226966853287975
Triadiza,ZGC Zona G6 - iztok,5648.0,"[42.694928, 23.320821]",0.3177987855463887
Mladost,j.k. Gorublane 2 i 3,1372.0,"[42.636613, 23.395164]",9.065240465163999
Nadejda,j.k. Nadejda 1,3344.0,"[42.723679, 23.305509]",3.1783927398818896
Lulin,j.k. Lulin - 1 mr,2967.0,"[42.733354, 23.250589]",7.036319517536351
Pancarevo,"s. Dolni Pasarel, v.z. Rasul",0.0,"[42.52782, 23.512464]",24.503522248408537
Pancarevo,"s. Bistriza, m. Oreskoviza",0.0,"[42.592056, 23.383226]",12.778510510984233
Vitosa,"s. M_rcaevo, m. Manastirise",0.0,"[42.59905, 23.148862]",17.895958794907344
Pancarevo,v.z. Kosanin dol,38.0,"[42.614869, 23.378909]",10.329137591778826
Pancarevo,"Pancarevo, v.z. Lavandulite",0.0,"[42.447165, 23.571171]",34.54365460540119
Pancarevo,v.z. Bistriza - Kalfin dol,96.0,"[42.603731, 23.350838]",10.716768434367092
Pancarevo,"Pancarevo, v.z. Belikata",27.0,"[42.596206, 23.389603]",12.576838115972546
Mladost,Mladost 4 Kambanite - Amerikanski kolej,878.0,"[42.635446, 23.366412]",7.8270048811274355
Pancarevo,"s. German, m. Dzukata",17.0,"[42.621733, 23.441298]",12.920195995598903
Pancarevo,Hidropark Isk_r - cast German,0.0,"[42.618706, 23.416336]",11.704342663112957
Pancarevo,"s. German, v.z. Terasite",22.0,"[42.615591, 23.423873]",12.373953549945606
Vitosa,jk. Manastirski livadi - zapad,9717.0,"[42.668324, 23.279254]",4.768311856092473
Serdika / Ilinden,ZGC Zona V17 - kv. Banisora,12465.0,"[42.713206, 23.315462]",1.7985966124301078
Vitosa,"s. Vladaa, m. Sv. Petka",4.0,"[42.631457, 23.189018]",13.116428438143279
Ovca Kupel,kv. Gorna bana,3722.0,"[42.685001, 23.235507]",7.188469092218848
Vitosa,"s. Vladaa, v.z. Priplat",0.0,"[42.638993, 23.194129]",12.308056727023239
Lozenez,Park - Borisova gradina - razs. Kr_stova vada,56.0,"[42.656579, 23.327983]",4.60122812917757
Vitosa,"s. Vladaa, m. Gabera",35.0,"[42.614353, 23.190094]",14.20589835946907
Lozenez / Triadiza,m. Lozenez cast 1,9570.0,"[42.671741, 23.32103]",2.887547036453454
Isk_r,Hidropark  Isk_r - cast NPZ Isk_r sever,0.0,"[42.690074, 23.423716]",8.376758559802974
Isk_r,NPZ Isk_r - sever,0.0,"[42.682906, 23.414158]",7.730133434658642
Slatina,SPZ Slatina - ug 1,1154.0,"[42.673174, 23.395206]",6.5949606296724115
Ovca Kupel,m. Gorna bana - razs. Lozise Podlozise,137.0,"[42.68941, 23.230543]",7.5106084051172965
Poduene,JP Areal - Poduane (cast 2),6.0,"[42.69791, 23.360113]",3.135498599139902
Kremikovzi,m. Cepinzi - Kraveferma D-r Pasov,23.0,"[42.735986, 23.380455]",6.412860360440889
Ovca Kupel,v.z. Gorna bana (razs. ug na kv. Gorna bana),1581.0,"[42.677762, 23.221717]",8.471233157952472
Slatina,SPZ Slatina - ug 2,0.0,"[42.686342, 23.400841]",6.58667861753513
Isk_r / Kremikovzi,zem. zemi kv. Busmanzi - Vrajdebna,0.0,"[42.701228, 23.447742]",10.30378000848187
Mladost,NPZ Iztok - podzona Gorublane,0.0,"[42.643144, 23.398055]",8.702253096465931
Poduene / Kremikovzi,m. Vrajdebna - ug,96.0,"[42.707222, 23.419465]",8.05499141908092
Novi Isk_r / Kremikovzi,m. Apadja,94.0,"[42.713216, 23.431706]",9.149068313826842
Serdika,ZGC Zona V17 - 16 s Predgarov plosad,5580.0,"[42.709594, 23.322449]",1.323355066016885
Serdika / Kremikovzi,"SZ Birimirzi-Broda, kv. 1",0.0,"[42.735714, 23.351693]",4.88356275002146
Nadejda,Skladova zona Ilianzi - Vr_bniza,3.0,"[42.741532, 23.318015]",4.882973260692901
Serdika,kv. Benkovski,3770.0,"[42.749557, 23.353293]",6.315478766689483
Vr_bniza,kv. Obela,2034.0,"[42.747733, 23.269029]",7.035030480326478
Serdika,Park Benkovski - zapad,0.0,"[42.753968, 23.339384]",6.420023991921662
Serdika,Precistvatelna stanzia Kubratovo,0.0,"[42.752852, 23.377982]",7.661942462078752
Novi Isk_r / Kremikovzi,Hidropark Isk_r - cast Vrajdebna - Kubratovo,0.0,"[42.767755, 23.368241]",8.665709647107068
Novi Isk_r,"s. Lokorsko, m. Turceniza",0.0,"[42.804069, 23.46193]",16.45906362405954
Novi Isk_r,"s. Vojnegovzi, v.z. Mancov valog",0.0,"[42.814555, 23.440625]",16.21813250184614
Novi Isk_r,"s. Podgumer, v.z. Zelinite",0.0,"[42.814519, 23.411424]",14.910673636803109
Novi Isk_r,Hidropark Isk_r - cast gr. Novi Isk_r,4.0,"[42.820559, 23.371247]",14.24608832691665
Novi Isk_r,"s. Podgumer, v.z. Presveta",0.0,"[42.822295, 23.405757]",15.45868802291225
Mladost,m. bul. Zarigradsko s. 7-11km - sever,434.0,"[42.656776, 23.396099]",7.593203788911254
Novi Isk_r,"s. Vojnegovzi, v.z. Rusia",0.0,"[42.805325, 23.422461]",14.520067922508535
Novi Isk_r,"s. Gnilane, v.z. K_pina",0.0,"[42.823797, 23.405598]",15.602804496030702
Novi Isk_r,m. v.z. Romca,0.0,"[42.851975, 23.364033]",17.497931128821104
Pancarevo,"s. D. Lozen, v.z. Umni dol",0.0,"[42.611211, 23.55926]",21.674247023007194
Kremikovzi,s. Dolni Bogrov - sever,122.0,"[42.707017, 23.494313]",14.139397855855206
Kremikovzi,Zem. zemi mejdu s. Benkovski i Cepinsko s.,0.0,"[42.746628, 23.358522]",6.214499937900627
Serdika,Hidropark Isk_r - Kubratovo - Novi Isk_r,0.0,"[42.801348, 23.370478]",12.192291017017098
Ovca Kupel,"s. Malo Bucino, m. Gradomanski p_t",0.0,"[42.691066, 23.157577]",13.437188253353373
Kremikovzi,Park Levski G - sever,0.0,"[42.720295, 23.390768]",6.173732861353975
Novi Isk_r / Kremikovzi,Park kv. Vrajdebna - sever,6.0,"[42.716411, 23.419732]",8.272189279174539
Kremikovzi,Ozelenavane transp. v_zel Severna - iztocna tangenti,0.0,"[42.720277, 23.39648]",6.602033507380309
Mladost,m. bul. Zarigradsko s. 7-11km - ug (HMS BAN),0.0,"[42.643371, 23.39992]",8.794842459969127
Vitosa,v.z. Kinozent_ra. v.z. Gabaro - Azmata,1108.0,"[42.639607, 23.304153]",6.618292034347307
Banka,v.z. Beli Breg - m. Grobisata,0.0,"[42.730039, 23.179335]",12.177927851362279
